,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol
305727,2019-11-12 00:00:00-05:00,SJM,105.13,825710.0,42.287954037155814,109.0390329016462,106.25800000000008,103.47696709835397,0.6211918534198557,Consumer Defensive,J.M. Smucker Company (The),7700,New York Stock Exchange
306851,2019-11-12 00:00:00-05:00,JNJ,131.35,6164711.0,51.398070371048796,133.15869996829383,131.74399999999977,130.3293000317057,0.6573868850881177,Healthcare,Johnson & Johnson,134000,New York Stock Exchange
307975,2019-11-12 00:00:00-05:00,JCI,42.56,4915790.0,47.301130089315194,44.25109945722276,42.76799999999997,41.28490054277719,0.1037446280971979,Industrials,Johnson Controls International plc,121000,New York Stock Exchange
309099,2019-11-12 00:00:00-05:00,JPM,129.16,10471939.0,69.68899543555855,130.66364905527433,129.752,128.84035094472569,0.09730335377605262,Financial Services,JP Morgan Chase & Co.,255313,New York Stock Exchange
310223,2019-11-12 00:00:00-05:00,JNPR,25.71,5707492.0,58.788744357856004,26.43815649511751,25.978000000000016,25.51784350488252,0.5843148447107362,Technology,Juniper Networks Inc.,9381,New York Stock Exchange
311347,2019-11-12 00:00:00-05:00,KSU,152.51,724921.0,71.96525884344625,154.5190618638481,152.84599999999983,151.17293813615157,0.5535417383730694,Industrials,Kansas City Southern,7130,New York Stock Exchange
312471,2019-11-12 00:00:00-05:00,K,63.97,1665156.0,56.83467206301768,64.53748696856753,63.91400000000002,63.29051303143251,0.3344819528159245,Consumer Defensive,Kellogg Company,33000,New York Stock Exchange
313595,2019-11-12 00:00:00-05:00,KEY,19.2,9248706.0,67.01234543598898,19.401168624415742,19.238000000000028,19.074831375584314,0.7230766470065391,Financial Services,KeyCorp,18354,New York Stock Exchange
314719,2019-11-12 00:00:00-05:00,KEYS,107.06,1215083.0,65.6726067150401,107.6822839909147,105.006,102.3297160090853,0.7598990229210528,Technology,Keysight Technologies Inc.,12600,New York Stock Exchange
315843,2019-11-12 00:00:00-05:00,KMB,131.35,1502883.0,43.57064724975851,131.9270268053176,131.49800000000027,131.06897319468294,0.9416642854308792,Consumer Defensive,Kimberly-Clark Corporation,42000,New York Stock Exchange
316967,2019-11-12 00:00:00-05:00,KIM,20.73,4320846.0,45.40279887768257,21.40536798306783,20.94999999999997,20.494632016932112,0.38301677912941506,Real Estate,Kimco Realty Corporation,546,New York Stock Exchange
